baseline_Distance Travelled,model_Distance Travelled,baseline_No. Of Stops Passed Through,model_No. Of Stops Passed Through,baseline_Non-Collision Destroyed,model_Non-Collision Destroyed,baseline_Non-Vehicle Collision Count,model_Non-Vehicle Collision Count,baseline_Serious Collision Count,model_Serious Collision Count,baseline_Speed,model_Speed,baseline_Speed Limit,model_Speed Limit,baseline_Time Stopped,model_Time Stopped,baseline_Time in speed0-5mph,model_Time in speed0-5mph,baseline_Time in speed10-15mph,model_Time in speed10-15mph,baseline_Time in speed15-20mph,model_Time in speed15-20mph,baseline_Time in speed20-25mph,model_Time in speed20-25mph,baseline_Time in speed25-30mph,model_Time in speed25-30mph,baseline_Time in speed30-35mph,model_Time in speed30-35mph,baseline_Time in speed5-10mph,model_Time in speed5-10mph,baseline_Vehicle-Vehicle Collision Count,model_Vehicle-Vehicle Collision Count,baseline_realtimeSinceStartup,model_realtimeSinceStartup,baseline_totalTimeinminsoFar,model_totalTimeinminsoFar
701.9352,1151.716,0,0.0,0,0.0,0,0.0,1,1.0,0.01548784,0.0229142,30,28.89917,1.70296,0.7315503,1.752076,0.7567759,0.06533778,0.04589221,0.06595551,0.09982251,0.1207488,2.097903,1.256807,0.6432445,0.0,0.0,0.04387537,0.02776134,1,3.0,236.5147,230.2115,3.305665,3.671666
439.3071,591.7205,0,0.0,0,1.0,0,0.0,1,0.0,0.00971119,0.0117338,30,28.25952,2.183566,2.170296,2.227684,2.202301,0.0766975,0.1466395,0.1044519,0.1973296,0.1481783,0.2933563,0.6822932,0.6280261,0.0,0.1810146,0.06549761,0.0668446,1,0.0,236.5152,232.8481,3.305665,3.715333
376.7071,501.5327,0,1.0,0,0.0,0,0.0,1,1.0,0.008191113,0.009378885,30,28.12678,2.363712,2.422222,2.418587,2.481318,0.08254818,0.1150016,0.0938094,0.1689484,0.1151362,0.5916465,0.5770846,0.3497916,0.0,0.06702604,0.07133926,0.08332355,1,2.0,239.9226,241.3329,3.362666,3.857
604.6559,716.3177,1,0.0,0,0.0,0,1.0,1,1.0,0.01311244,0.013315,30,29.22302,1.821482,2.089374,1.930806,2.117375,0.104719,0.0564065,0.1047542,0.09845538,0.2030623,0.5902468,0.8377479,0.7505699,0.1166667,0.2104756,0.06074548,0.04619474,1,2.0,239.9231,242.1102,3.362666,3.87
197.7111,668.667,0,0.0,1,1.0,0,0.0,0,0.0,0.004221776,0.01252043,30,24.64267,2.906087,2.173877,2.933864,2.230021,0.02222222,0.1207903,0.01666667,0.1983785,0.02777778,0.3644902,0.3555556,0.9177229,0.0,0.0,0.02777778,0.08330059,0,0.0,241.4347,244.7978,3.387666,3.914666
543.2742,628.9437,0,0.0,1,0.0,0,0.0,0,1.0,0.01163094,0.01204197,30,29.59511,2.129258,2.169527,2.145925,2.250705,0.04444444,0.1488022,0.09377939,0.2430798,0.1489124,0.5568551,0.9211465,0.5631463,0.0,0.09715369,0.04396423,0.1142561,0,2.0,242.1905,248.3549,3.399999,3.974
508.5413,409.8939,0,0.0,1,1.0,0,0.0,0,0.0,0.01056822,0.007754952,30,30.32384,2.235788,2.872588,2.280079,2.911897,0.07714935,0.1290914,0.08285993,0.1661857,0.1331217,0.3628206,0.8483421,0.4129901,0.0,0.0,0.06103017,0.05504384,1,0.0,247.3546,252.2125,3.485332,4.038333
352.3076,338.7362,0,0.0,1,1.0,0,0.0,0,0.0,0.007301229,0.006207061,30,27.79877,2.589667,3.100358,2.644958,3.142462,0.07762422,0.07902364,0.06107692,0.1162521,0.09906905,0.5266457,0.5666669,0.1715549,0.0,0.0,0.03862963,0.06174883,0,0.0,247.7043,255.7761,3.490665,4.097667
521.2293,373.1336,0,0.0,0,1.0,0,0.0,1,0.0,0.01094109,0.006598197,30,27.87045,2.09289,3.056526,2.174945,3.102163,0.1153844,0.08184889,0.1499666,0.1174349,0.204289,0.486748,0.7670738,0.2962049,0.0,0.0,0.09303274,0.05765846,1,0.0,248.6495,258.4514,3.506332,4.142333
565.7846,253.621,0,0.0,0,1.0,0,0.0,1,0.0,0.01164597,0.004279081,30,28.96169,2.10821,3.404414,2.157303,3.460011,0.08814003,0.08919656,0.1100356,0.1203542,0.1820767,0.3623148,0.8960704,0.08709238,0.0,0.02036787,0.09328718,0.07647148,1,0.0,250.0911,262.8757,3.529665,4.216
420.9396,785.7689,0,0.0,0,1.0,0,0.0,1,0.0,0.008696975,0.01437693,30,27.56281,2.447261,2.130236,2.491706,2.171111,0.06661253,0.2350539,0.115761,0.3172112,0.1607193,0.5695906,0.6315907,0.9278681,0.0,0.0,0.06608029,0.07518601,1,1.0,250.4541,267.6765,3.535665,4.296
480.642,489.1151,0,0.0,1,0.0,0,0.0,0,1.0,0.009815864,0.008072183,30,28.53846,2.400889,3.086344,2.455833,3.133056,0.06657053,0.08378846,0.07208198,0.08765087,0.1164285,0.1709815,0.8157876,0.5207408,0.0,0.2378761,0.03865957,0.06620498,0,1.0,252.4068,267.9325,3.567665,4.300333
940.5019,623.6169,0,0.0,0,0.0,1,0.0,1,1.0,0.01918281,0.009855042,30,23.2478,1.392702,2.725788,1.448053,2.792775,0.08733349,0.1092265,0.1311794,0.1488975,0.1798298,0.2606429,1.652161,0.6918405,0.0,0.259503,0.07199143,0.08381256,2,2.0,252.6445,270.7104,3.571332,4.346666
424.9482,610.8192,0,0.0,1,1.0,0,0.0,0,0.0,0.008554744,0.009700928,30,26.37694,2.57066,2.698304,2.59821,2.763227,0.0611111,0.1485456,0.07222222,0.2567536,0.1111111,0.6117228,0.710742,0.5997317,0.0,0.0,0.04397104,0.1104323,3,1.0,254.3736,279.3529,3.599665,4.490667
624.8406,323.5627,0,0.0,0,1.0,0,0.0,1,0.0,0.0125603,0.004844762,30,27.17526,2.085258,3.585198,2.135185,3.629276,0.1323,0.09494565,0.1770622,0.1411925,0.2488413,0.4079229,0.9295321,0.2139959,0.0,0.0,0.09979716,0.05647005,1,0.0,261.8598,282.5527,3.725332,4.544
1002.439,375.4074,0,0.0,0,1.0,0,0.0,1,0.0,0.01935801,0.005948072,30,29.725,1.528447,3.56822,1.594828,3.624665,0.08243565,0.1129944,0.08290511,0.1418755,0.1441268,0.2502947,1.829489,0.1936263,0.0,0.2153411,0.04364497,0.07593469,1,2.0,265.0108,286.7932,3.777332,4.614667
501.3271,837.4078,0,1.0,1,1.0,0,0.0,0,0.0,0.009599837,0.01183253,30,24.32285,2.604553,2.690231,2.632331,2.747936,0.05,0.06739773,0.06666666,0.1163154,0.1333334,0.3747507,0.8485014,0.9658407,0.0,0.3497598,0.0611111,0.06302672,0,3.0,266.0665,291.0124,3.794999,4.685
495.7224,522.1259,0,1.0,0,1.0,0,0.0,1,0.0,0.00950852,0.007586019,30,28.80521,2.575909,3.432588,2.629655,3.48031,0.09881989,0.120933,0.1025252,0.1670334,0.1426542,0.3977707,0.7872635,0.460678,0.0,0.1346374,0.06881833,0.07136375,1,0.0,268.1533,299.879,3.829665,4.832666
509.1186,563.5831,0,0.0,1,1.0,0,0.0,0,0.0,0.009576573,0.008832363,30,24.76906,2.711862,3.353727,2.733846,3.392814,0.03888889,0.1221661,0.07188743,0.1393222,0.07222222,0.3486584,0.9171409,0.7599929,0.0,0.02333935,0.03855829,0.08675817,0,1.0,270.8608,302.2954,3.875332,4.873
513.0929,614.1888,0,0.0,1,0.0,0,0.0,0,1.0,0.009516711,0.008908643,30,24.68905,2.770885,3.453919,2.787551,3.51982,0.04379395,0.1079626,0.0493468,0.1305536,0.0753573,0.219225,0.9349859,0.9525235,0.0,0.04463699,0.03865325,0.08734791,2,2.0,274.1176,313.6503,3.929353,5.062333
383.1433,683.7633,0,1.0,0,0.0,0,0.0,1,1.0,0.007329661,0.01060518,30,21.26184,2.960282,3.305097,2.99202,3.37054,0.07264534,0.1059109,0.08652699,0.1872354,0.09088899,0.3428712,0.614791,0.8389022,0.0,0.138849,0.07281491,0.08670485,1,2.0,274.4097,314.1862,3.933999,5.071333
