totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
3.106,195.814, 3.106197,0.1989555, 0, 252.5, 1,0,1,0,0,3.106197, 0, 0,0, 0, 0, 0
3.108,195.9342, 2.674396,212.954, 0.01043615, 252.5, 0,0,3,1,2,2.817958, 0.05240238, 0.0262065,0.02392235, 0.01684002, 0.01585349, 0.00730104
3.251333,204.5394, 2.926544,207.7764, 0.009885855, 252.5, 0,0,2,1,2,2.963936, 0.0284181, 0.02287681,0.0168829, 0.01724333, 0.008873613, 0.007696615
3.438,215.7372, 3.09966,147.7051, 0.006901552, 252.5, 0,3,1,1,0,3.178322, 0.03256382, 0.02280581,0.02314465, 0.0226085, 0.03089669, 0.02092369
3.467,217.4739, 1.225221,2141.346, 0.109034, 252.5, 1,0,12,0,7,1.273543, 0.05518205, 0.05574908,0.07657065, 0.09245762, 0.2112574, 0.2468081
3.836,239.6192, 2.767961,839.2031, 0.03366486, 252.5, 0,0,10,1,2,2.874119, 0.1031456, 0.06799306,0.07118716, 0.06250543, 0.05115257, 0.06416432
3.865333,241.3744, 2.415521,935.3967, 0.04359202, 252.5, 1,0,13,0,8,2.549577, 0.08701906, 0.07461344,0.09218514, 0.0829104, 0.08565207, 0.1048049
3.871333,241.7337, 2.000697,1364.765, 0.06051164, 252.5, 0,0,7,1,5,2.055078, 0.1149908, 0.09805047,0.1082652, 0.1437127, 0.1087981, 0.09616816
4.006,249.8192, 2.350196,181.5648, 0.00800038, 252.5, 0,13,1,1,0,3.663504, 0.08167035, 0.06662694,0.04209808, 0.02966051, 0.02742162, 0.02430974
4.177,260.076, 3.626597,404.7688, 0.01549971, 252.5, 1,0,6,0,1,3.712667, 0.03317481, 0.02920963,0.03072985, 0.03034464, 0.02463304, 0.02564164
4.481,278.3185, 3.476227,825.2103, 0.03346036, 252.5, 0,1,12,1,5,3.53998, 0.05913498, 0.06480458,0.06668653, 0.06719135, 0.0699309, 0.05030823
4.985666,308.5959, 3.997982,441.1623, 0.01613239, 252.5, 0,4,2,1,1,4.386061, 0.1313784, 0.0438642,0.04400523, 0.03904036, 0.03235341, 0.02943407
5.035333,311.5761, 3.372076,84.90619, 0.003116115, 252.5, 0,1,0,1,0,4.97012, 0.006972868, 0.0069027,0.006900036, 0.007349804, 0.007476665, 0.009403027
10.01677,610.4647, 9.48109,158.7178, 0.002709154, 252.5, 0,0,20,0,0,9.689082, 0.09279023, 0.05399763,0.03424946, 0.02020025, 0.02351608, 0.008984492
10.01677,610.474, 0.0006666667,1688473, 36.9153, 252.5, 0,0,1,0,1,0.007631253, 0.00669959, 0.007538914,0.007212488, 0.007332747, 0.007831069, 0.007696615
10.01677,610.4743, 0.0006666667,1665082, 36.40797, 252.5, 0,0,1,0,2,0.007631253, 0.007044313, 0.01503957,0.01799919, 0.0178685, 0.01822255, 0.01762029
10.01677,610.4745, 10.01712,0.1047251, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4747, 10.01712,0.07427956, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4749, 10.01712,18.03119, 0, 252.5, 0,1,2,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.475, 10.01712,0.08518147, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4752, 10.01712,34.78233, 0, 252.5, 0,0,3,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4753, 10.01712,0.09046551, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4755, 10.01712,0.05551775, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4757, 10.01712,0.1069277, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4758, 10.01712,0.09982949, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.476, 10.01712,0.1058503, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4761, 10.01712,0.08094881, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4763, 10.01712,0.1069425, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4764, 10.01712,0.1004996, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4766, 10.01712,0.09983441, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4767, 10.01712,0.09206194, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4769, 10.01712,0.06231898, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4771, 10.01712,0.07288259, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4772, 10.01712,0.08525907, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4774, 10.01712,0.2907917, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4775, 10.01712,0.05377273, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4777, 10.01712,0.09980963, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4778, 10.01712,0.142818, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.478, 10.01712,0.06229513, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4781, 10.01712,0.05550088, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4782, 10.01712,0.07282546, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4783, 10.01712,0.08963328, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4785, 10.01712,0.09760876, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4786, 10.01712,0.08103357, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4788, 10.01712,0.8578625, 0, 252.5, 0,0,2,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4789, 10.01712,0.1199147, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4791, 10.01712,1772086, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4792, 10.01712,0.2039783, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4794, 10.01712,0.07281215, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4795, 10.01712,0.06229532, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4796, 10.01712,21.51615, 0, 252.5, 0,2,2,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4797, 10.01712,0.2336909, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4799, 10.01712,0.1291066, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4801, 10.01712,0.2787273, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4802, 10.01712,0.2569336, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4804, 10.01712,26.76025, 0, 252.5, 0,0,3,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4805, 10.01712,1772086, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4807, 10.01712,0.08685499, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4808, 10.01712,0.9072683, 0, 252.5, 0,0,3,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.481, 10.01712,0.129198, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4812, 10.01712,0.03857598, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4813, 10.01712,0.1157655, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4815, 10.01712,0.2580936, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
