totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
1.023333,71.26367, 1.00042,2.708955, 0.0001478354, 33.51668, 0,0,0,1,0,1.007623, 0.01195869, 0.004035729,0, 0, 0, 0
1.023333,71.26406, 1.00042,2.369853, 0.0001324984, 30.39032, 0,0,0,1,0,1.011315, 0.01024225, 0.002060831,0, 0, 0, 0
1.025333,71.38579, 1.000452,2.763488, 0.0001472853, 33.41488, 0,0,0,1,0,1.009274, 0.01245978, 0.003926397,0, 0, 0, 0
1.032333,71.8018, 1.000528,3.574294, 0.0002330663, 31.43124, 0,0,0,1,0,1.011549, 0.01340583, 0.007662854,0, 0, 0, 0
1.032333,71.80247, 1.000528,2.456454, 0.0001604657, 23.79854, 0,0,0,1,0,1.018794, 0.01382373, 0,0, 0, 0, 0
1.032333,71.80265, 1.000528,4.432228, 0.0002687748, 25.98181, 0,0,0,1,0,1.008669, 0.0116071, 0.01234162,0, 0, 0, 0
1.032667,71.83105, 1.000402,4.543796, 0.000279743, 29.37705, 0,0,0,1,0,1.008886, 0.0111075, 0.01299735,0, 0, 0, 0
1.033,71.8437, 1.000258,4.683405, 0.0003065521, 27.11941, 0,0,0,1,0,1.009066, 0.01050209, 0.01335993,0.0003159063, 0, 0, 0
1.033,71.84432, 1.000258,4.675226, 0.0003022635, 26.91347, 0,0,0,1,0,1.008914, 0.01065454, 0.01367584,0, 0, 0, 0
1.034333,71.92403, 1.000544,4.863299, 0.0003376162, 25.68432, 0,0,0,1,0,1.009376, 0.01095786, 0.01432059,0, 0, 0, 0
1.034667,71.93762, 1.000175,5.061699, 0.0003508121, 29.49956, 0,0,0,1,0,1.009017, 0.01111254, 0.01271323,0.001951737, 0, 0, 0
1.035667,72.0007, 1.00049,5.18115, 0.0003882271, 25.84943, 0,0,0,1,0,1.008775, 0.01170513, 0.01323665,0.002216717, 0, 0, 0
1.037,72.08485, 1.000592,5.480232, 0.0004203044, 30.64284, 0,0,0,1,0,1.010128, 0.01056158, 0.01524367,0.001381656, 0, 0, 0
1.04,72.26689, 1.00041,6.267979, 0.0005220502, 30.78105, 0,0,0,1,0,1.009706, 0.01073432, 0.01472662,0.005023601, 0, 0, 0
1.064333,73.72039, 1.000313,12.24891, 0.001361646, 30.507, 0,0,0,1,0,1.012089, 0.0117296, 0.01853306,0.02224758, 0, 0, 0
